"InstrumentID","InstrumentType","Readiness","Lane","Material","Thickness_in","Length_Mode","Note","Midi","Target_Hz","Length_in","Predicted_Hz","Cents_Error"
"TNG-001","Tongue drum","prototype","Round24 B6","Cherry",0.25,"Short-1%","B4",71,493.8833012561241,3.7059519561326293,503.91113279882063,34.79896726827608
"TNG-001","Tongue drum","prototype","Round24 B6","Cherry",0.25,"Long-1%","B4",71,493.8833012561241,3.780819672418137,484.1518490894266,-34.452703144968396
"TNG-001","Tongue drum","prototype","Round24 B6","Cherry",0.375,"Nominal","B4",71,493.8833012561241,4.584692577673803,493.88330125612424,3.8441118045779003e-13
"TNG-001","Tongue drum","prototype","Round24 B6","Cherry",0.375,"Short-1%","B4",71,493.8833012561241,4.538845651897065,503.9111327988208,34.798967268276456
"TNG-001","Tongue drum","prototype","Round24 B6","Cherry",0.375,"Long-1%","B4",71,493.8833012561241,4.6305395034505406,484.15184908942666,-34.4527031449682
"TNG-001","Tongue drum","prototype","Round24 B6","Cherry",0.25,"Nominal","C5",72,523.2511306011972,3.6368188866298348,523.251130601197,-7.688223609155805e-13
"TNG-001","Tongue drum","prototype","Round24 B6","Cherry",0.25,"Short-1%","C5",72,523.2511306011972,3.600450697763536,533.8752480371362,34.79896726827608
"TNG-001","Tongue drum","prototype","Round24 B6","Cherry",0.25,"Long-1%","C5",72,523.2511306011972,3.6731870754961333,512.9410161760583,-34.45270314496879
"TNG-001","Tongue drum","prototype","Round24 B6","Cherry",0.375,"Nominal","C5",72,523.2511306011972,4.454175279579959,523.2511306011972,0
"TNG-001","Tongue drum","prototype","Round24 B6","Cherry",0.375,"Short-1%","C5",72,523.2511306011972,4.40963352678416,533.8752480371361,34.7989672682757
"TNG-001","Tongue drum","prototype","Round24 B6","Cherry",0.375,"Long-1%","C5",72,523.2511306011972,4.498717032375759,512.9410161760583,-34.45270314496879
